waypoint1	waypoint2	distance_m	duration_s
Sector 40, Chandigarh	Sector 31, Chandigarh	7364	980
Sector 41, Chandigarh	Sector 31, Chandigarh	6881	884
Sector 42, Chandigarh	Sector 31, Chandigarh	6250	776
Sector 43, Chandigarh	Sector 31, Chandigarh	5184	691
Sector 44, Chandigarh	Sector 31, Chandigarh	4607	650
Sector 45, Chandigarh	Sector 31, Chandigarh	3882	549
Sector 33, Chandigarh	Sector 32, Chandigarh	1003	153
Sector 34, Chandigarh	Sector 32, Chandigarh	1601	320
Sector 35, Chandigarh	Sector 32, Chandigarh	2639	519
Sector 36, Chandigarh	Sector 32, Chandigarh	4728	637
Sector 37, Chandigarh	Sector 32, Chandigarh	5329	698
Sector 38, Chandigarh	Sector 32, Chandigarh	6515	863
Sector 39, Chandigarh	Sector 32, Chandigarh	6705	891
Sector 40, Chandigarh	Sector 32, Chandigarh	5869	799
Sector 32, Chandigarh	Sector 41, Chandigarh	5385	703
Sector 42, Chandigarh	Sector 32, Chandigarh	4754	595
Sector 43, Chandigarh	Sector 32, Chandigarh	3688	510
Sector 44, Chandigarh	Sector 32, Chandigarh	3111	469
Sector 45, Chandigarh	Sector 32, Chandigarh	2386	368
Sector 34, Chandigarh	Sector 33, Chandigarh	1088	245
Sector 35, Chandigarh	Sector 33, Chandigarh	2725	447
Sector 36, Chandigarh	Sector 33, Chandigarh	3709	526
Sector 37, Chandigarh	Sector 33, Chandigarh	4174	641
Sector 33, Chandigarh	Sector 38, Chandigarh	5357	762
Sector 33, Chandigarh	Sector 39, Chandigarh	6329	874
Sector 40, Chandigarh	Sector 33, Chandigarh	5493	782
Sector 33, Chandigarh	Sector 41, Chandigarh	5010	686
Sector 42, Chandigarh	Sector 33, Chandigarh	4379	577
Sector 43, Chandigarh	Sector 33, Chandigarh	3313	492
Sector 33, Chandigarh	Sector 44, Chandigarh	2736	452
Sector 33, Chandigarh	Sector 45, Chandigarh	2424	380
Sector 35, Chandigarh	Sector 34, Chandigarh	1034	198
Sector 34, Chandigarh	Sector 36, Chandigarh	2095	346
Sector 34, Chandigarh	Sector 37, Chandigarh	2707	484
Sector 34, Chandigarh	Sector 38, Chandigarh	5017	675
Sector 34, Chandigarh	Sector 39, Chandigarh	5207	704
Sector 34, Chandigarh	Sector 40, Chandigarh	4371	612
Sector 34, Chandigarh	Sector 41, Chandigarh	3887	516
Sector 42, Chandigarh	Sector 34, Chandigarh	3256	408
Sector 43, Chandigarh	Sector 34, Chandigarh	2190	320
Sector 34, Chandigarh	Sector 44, Chandigarh	2284	357
Sector 34, Chandigarh	Sector 45, Chandigarh	2162	332
Sector 35, Chandigarh	Sector 36, Chandigarh	1062	148
Sector 35, Chandigarh	Sector 37, Chandigarh	1674	286
Sector 35, Chandigarh	Sector 38, Chandigarh	3972	503
Sector 35, Chandigarh	Sector 39, Chandigarh	4302	573
Sector 35, Chandigarh	Sector 40, Chandigarh	3465	481
Sector 35, Chandigarh	Sector 41, Chandigarh	2982	385
Sector 42, Chandigarh	Sector 35, Chandigarh	2368	297
Sector 43, Chandigarh	Sector 35, Chandigarh	2169	304
Sector 35, Chandigarh	Sector 44, Chandigarh	2675	421
Sector 35, Chandigarh	Sector 45, Chandigarh	3346	455
Sector 36, Chandigarh	Sector 37, Chandigarh	612	138
Sector 36, Chandigarh	Sector 38, Chandigarh	1949	360
Sector 36, Chandigarh	Sector 39, Chandigarh	3374	454
Sector 36, Chandigarh	Sector 40, Chandigarh	2538	362
Sector 36, Chandigarh	Sector 41, Chandigarh	2055	266
Sector 42, Chandigarh	Sector 36, Chandigarh	2267	254
Sector 43, Chandigarh	Sector 36, Chandigarh	2323	325
Sector 36, Chandigarh	Sector 44, Chandigarh	3374	495
Sector 36, Chandigarh	Sector 45, Chandigarh	4045	530
Sector 37, Chandigarh	Sector 38, Chandigarh	1343	226
Sector 37, Chandigarh	Sector 39, Chandigarh	2932	386
Sector 37, Chandigarh	Sector 40, Chandigarh	2096	294
Sector 37, Chandigarh	Sector 41, Chandigarh	1596	300
Sector 42, Chandigarh	Sector 37, Chandigarh	2294	285
Sector 43, Chandigarh	Sector 37, Chandigarh	2890	418
Sector 37, Chandigarh	Sector 44, Chandigarh	3941	587
Sector 37, Chandigarh	Sector 45, Chandigarh	4612	622
Sector 39, Chandigarh	Sector 38, Chandigarh	1661	202
Sector 40, Chandigarh	Sector 38, Chandigarh	1058	184
Sector 38, Chandigarh	Sector 41, Chandigarh	2551	388
Sector 42, Chandigarh	Sector 38, Chandigarh	3469	415
Sector 43, Chandigarh	Sector 38, Chandigarh	4076	551
Sector 44, Chandigarh	Sector 38, Chandigarh	5127	721
Sector 38, Chandigarh	Sector 45, Chandigarh	5799	755
Sector 40, Chandigarh	Sector 39, Chandigarh	1751	299
Sector 39, Chandigarh	Sector 41, Chandigarh	2089	440
Sector 42, Chandigarh	Sector 39, Chandigarh	3810	468
Sector 43, Chandigarh	Sector 39, Chandigarh	4962	604
Sector 44, Chandigarh	Sector 39, Chandigarh	5966	806
Sector 39, Chandigarh	Sector 45, Chandigarh	6447	848
Sector 40, Chandigarh	Sector 41, Chandigarh	1131	258
Sector 42, Chandigarh	Sector 40, Chandigarh	1923	322
Sector 43, Chandigarh	Sector 40, Chandigarh	2952	478
Sector 40, Chandigarh	Sector 44, Chandigarh	4556	678
Sector 40, Chandigarh	Sector 45, Chandigarh	5227	713
Sector 42, Chandigarh	Sector 41, Chandigarh	776	125
Sector 43, Chandigarh	Sector 41, Chandigarh	1806	282
Sector 44, Chandigarh	Sector 41, Chandigarh	2840	489
Sector 45, Chandigarh	Sector 41, Chandigarh	4780	621
Sector 42, Chandigarh	Sector 43, Chandigarh	1030	157
Sector 42, Chandigarh	Sector 44, Chandigarh	2064	364
Sector 42, Chandigarh	Sector 45, Chandigarh	2956	500
Sector 43, Chandigarh	Sector 44, Chandigarh	1035	208
Sector 43, Chandigarh	Sector 45, Chandigarh	1926	343
Sector 44, Chandigarh	Sector 45, Chandigarh	1165	246
