waypoint1	waypoint2	distance_m	duration_s
Sector 6, Chandigarh	Sector 14, Chandigarh	7997	981
Sector 15, Chandigarh	Sector 6, Chandigarh	6594	742
Sector 16, Chandigarh	Sector 6, Chandigarh	5895	652
Sector 17, Chandigarh	Sector 6, Chandigarh	5859	671
Sector 6, Chandigarh	Sector 18, Chandigarh	4050	526
Sector 6, Chandigarh	Sector 19, Chandigarh	3995	501
Sector 20, Chandigarh	Sector 6, Chandigarh	4811	771
Sector 21, Chandigarh	Sector 6, Chandigarh	5911	807
Sector 22, Chandigarh	Sector 6, Chandigarh	6210	834
Sector 6, Chandigarh	Sector 23, Chandigarh	7472	840
Sector 6, Chandigarh	Sector 24, Chandigarh	7999	941
Sector 25, Chandigarh	Sector 6, Chandigarh	8964	1053
Sector 26, Chandigarh	Sector 6, Chandigarh	1748	234
Sector 27, Chandigarh	Sector 6, Chandigarh	3161	481
Sector 6, Chandigarh	Sector 28, Chandigarh	3104	445
Sector 29, Chandigarh	Sector 6, Chandigarh	4333	582
Sector 6, Chandigarh	Sector 30, Chandigarh	4688	612
Sector 6, Chandigarh	Sector 31, Chandigarh	6164	866
Sector 6, Chandigarh	Sector 32, Chandigarh	6548	860
Sector 33, Chandigarh	Sector 6, Chandigarh	6481	892
Sector 34, Chandigarh	Sector 6, Chandigarh	6912	981
Sector 35, Chandigarh	Sector 6, Chandigarh	8607	1034
Sector 36, Chandigarh	Sector 6, Chandigarh	8890	1063
Sector 37, Chandigarh	Sector 6, Chandigarh	9400	1122
Sector 6, Chandigarh	Sector 38, Chandigarh	10583	1240
Sector 6, Chandigarh	Sector 39, Chandigarh	12172	1401
Sector 40, Chandigarh	Sector 6, Chandigarh	11336	1308
Sector 6, Chandigarh	Sector 41, Chandigarh	10869	1281
Sector 42, Chandigarh	Sector 6, Chandigarh	10196	1213
Sector 43, Chandigarh	Sector 6, Chandigarh	9136	1232
Sector 6, Chandigarh	Sector 44, Chandigarh	8559	1192
Sector 6, Chandigarh	Sector 45, Chandigarh	8248	1120
Sector 7, Chandigarh	Sector 8, Chandigarh	1312	200
Sector 7, Chandigarh	Sector 9, Chandigarh	2213	299
Sector 7, Chandigarh	Sector 10, Chandigarh	3991	447
Sector 7, Chandigarh	Sector 11, Chandigarh	4693	506
Sector 7, Chandigarh	Sector 12, Chandigarh	6009	730
Sector 7, Chandigarh	Sector 13, Chandigarh	4380	714
Sector 7, Chandigarh	Sector 14, Chandigarh	5739	833
Sector 7, Chandigarh	Sector 15, Chandigarh	4314	589
Sector 7, Chandigarh	Sector 16, Chandigarh	3572	498
Sector 7, Chandigarh	Sector 17, Chandigarh	3536	517
Sector 7, Chandigarh	Sector 18, Chandigarh	1819	300
Sector 7, Chandigarh	Sector 19, Chandigarh	1763	276
Sector 7, Chandigarh	Sector 20, Chandigarh	3421	565
Sector 7, Chandigarh	Sector 21, Chandigarh	3679	581
Sector 7, Chandigarh	Sector 22, Chandigarh	3979	608
Sector 7, Chandigarh	Sector 23, Chandigarh	5149	686
Sector 7, Chandigarh	Sector 24, Chandigarh	5719	788
Sector 7, Chandigarh	Sector 25, Chandigarh	6684	900
Sector 7, Chandigarh	Sector 26, Chandigarh	1230	212
Sector 7, Chandigarh	Sector 27, Chandigarh	1758	306
Sector 7, Chandigarh	Sector 28, Chandigarh	2657	408
Sector 7, Chandigarh	Sector 29, Chandigarh	3886	545
Sector 7, Chandigarh	Sector 30, Chandigarh	3159	513
Sector 7, Chandigarh	Sector 31, Chandigarh	5717	830
Sector 7, Chandigarh	Sector 32, Chandigarh	4496	700
Sector 7, Chandigarh	Sector 33, Chandigarh	4430	732
Sector 7, Chandigarh	Sector 34, Chandigarh	4681	756
Sector 7, Chandigarh	Sector 35, Chandigarh	6284	879
Sector 7, Chandigarh	Sector 36, Chandigarh	6567	909
Sector 7, Chandigarh	Sector 37, Chandigarh	7121	969
Sector 7, Chandigarh	Sector 38, Chandigarh	8304	1087
Sector 7, Chandigarh	Sector 39, Chandigarh	9893	1248
Sector 7, Chandigarh	Sector 40, Chandigarh	9057	1155
Sector 7, Chandigarh	Sector 41, Chandigarh	8590	1128
Sector 7, Chandigarh	Sector 42, Chandigarh	7874	1059
Sector 7, Chandigarh	Sector 43, Chandigarh	6905	1006
Sector 7, Chandigarh	Sector 44, Chandigarh	6328	966
Sector 7, Chandigarh	Sector 45, Chandigarh	6017	894
Sector 9, Chandigarh	Sector 8, Chandigarh	1137	178
Sector 10, Chandigarh	Sector 8, Chandigarh	2909	339
Sector 11, Chandigarh	Sector 8, Chandigarh	3611	398
Sector 12, Chandigarh	Sector 8, Chandigarh	4927	622
Sector 13, Chandigarh	Sector 8, Chandigarh	5792	785
Sector 14, Chandigarh	Sector 8, Chandigarh	5435	780
Sector 15, Chandigarh	Sector 8, Chandigarh	4010	535
Sector 16, Chandigarh	Sector 8, Chandigarh	3267	445
Sector 17, Chandigarh	Sector 8, Chandigarh	3231	463
Sector 18, Chandigarh	Sector 8, Chandigarh	2359	353
Sector 19, Chandigarh	Sector 8, Chandigarh	2304	329
Sector 20, Chandigarh	Sector 8, Chandigarh	3961	618
Sector 21, Chandigarh	Sector 8, Chandigarh	3824	630
Sector 22, Chandigarh	Sector 8, Chandigarh	3709	634
Sector 23, Chandigarh	Sector 8, Chandigarh	4844	633
Sector 24, Chandigarh	Sector 8, Chandigarh	5415	734
Sector 25, Chandigarh	Sector 8, Chandigarh	6380	847
Sector 26, Chandigarh	Sector 8, Chandigarh	1792	283
Sector 27, Chandigarh	Sector 8, Chandigarh	3097	428
Sector 28, Chandigarh	Sector 8, Chandigarh	4025	553
Sector 29, Chandigarh	Sector 8, Chandigarh	5257	668
Sector 30, Chandigarh	Sector 8, Chandigarh	4505	614
Sector 31, Chandigarh	Sector 8, Chandigarh	7088	952
Sector 32, Chandigarh	Sector 8, Chandigarh	5843	802
Sector 33, Chandigarh	Sector 8, Chandigarh	5776	834
Sector 34, Chandigarh	Sector 8, Chandigarh	5221	809
Sector 35, Chandigarh	Sector 8, Chandigarh	5980	826
Sector 36, Chandigarh	Sector 8, Chandigarh	6262	856
Sector 37, Chandigarh	Sector 8, Chandigarh	6816	915
Sector 38, Chandigarh	Sector 8, Chandigarh	7999	1034
Sector 39, Chandigarh	Sector 8, Chandigarh	9588	1194
Sector 40, Chandigarh	Sector 8, Chandigarh	8752	1102
Sector 41, Chandigarh	Sector 8, Chandigarh	8285	1074
Sector 42, Chandigarh	Sector 8, Chandigarh	7569	1005
Sector 43, Chandigarh	Sector 8, Chandigarh	7370	1013
Sector 44, Chandigarh	Sector 8, Chandigarh	6868	1019
Sector 45, Chandigarh	Sector 8, Chandigarh	6557	948
Sector 9, Chandigarh	Sector 10, Chandigarh	964	168
Sector 9, Chandigarh	Sector 11, Chandigarh	1823	302
Sector 12, Chandigarh	Sector 9, Chandigarh	3208	528
Sector 13, Chandigarh	Sector 9, Chandigarh	6695	863
Sector 14, Chandigarh	Sector 9, Chandigarh	4399	640
Sector 15, Chandigarh	Sector 9, Chandigarh	2974	396
Sector 16, Chandigarh	Sector 9, Chandigarh	2232	305
Sector 17, Chandigarh	Sector 9, Chandigarh	2196	324
Sector 18, Chandigarh	Sector 9, Chandigarh	2291	367
Sector 9, Chandigarh	Sector 19, Chandigarh	2758	395
Sector 20, Chandigarh	Sector 9, Chandigarh	4416	685
Sector 21, Chandigarh	Sector 9, Chandigarh	3466	587
Sector 22, Chandigarh	Sector 9, Chandigarh	3351	591
Sector 23, Chandigarh	Sector 9, Chandigarh	3809	493
Sector 9, Chandigarh	Sector 24, Chandigarh	4379	594
Sector 25, Chandigarh	Sector 9, Chandigarh	5344	707
Sector 26, Chandigarh	Sector 9, Chandigarh	2692	378
Sector 27, Chandigarh	Sector 9, Chandigarh	3582	511
Sector 28, Chandigarh	Sector 9, Chandigarh	4510	636
Sector 29, Chandigarh	Sector 9, Chandigarh	5711	734
Sector 9, Chandigarh	Sector 30, Chandigarh	4960	681
Sector 9, Chandigarh	Sector 31, Chandigarh	7542	1019
Sector 9, Chandigarh	Sector 32, Chandigarh	6297	869
Sector 33, Chandigarh	Sector 9, Chandigarh	6230	901
Sector 34, Chandigarh	Sector 9, Chandigarh	4816	798
Sector 35, Chandigarh	Sector 9, Chandigarh	4944	686
Sector 36, Chandigarh	Sector 9, Chandigarh	5227	716
Sector 37, Chandigarh	Sector 9, Chandigarh	5781	776
Sector 38, Chandigarh	Sector 9, Chandigarh	6964	894
Sector 39, Chandigarh	Sector 9, Chandigarh	8553	1054
Sector 40, Chandigarh	Sector 9, Chandigarh	7716	962
Sector 9, Chandigarh	Sector 41, Chandigarh	7250	935
Sector 42, Chandigarh	Sector 9, Chandigarh	6533	866
Sector 43, Chandigarh	Sector 9, Chandigarh	6334	873
Sector 44, Chandigarh	Sector 9, Chandigarh	6334	1054
Sector 9, Chandigarh	Sector 45, Chandigarh	7011	1014
Sector 10, Chandigarh	Sector 11, Chandigarh	858	134
Sector 12, Chandigarh	Sector 10, Chandigarh	2244	360
Sector 13, Chandigarh	Sector 10, Chandigarh	7620	952
Sector 14, Chandigarh	Sector 10, Chandigarh	3526	540
Sector 15, Chandigarh	Sector 10, Chandigarh	2123	301
Sector 16, Chandigarh	Sector 10, Chandigarh	2108	260
Sector 17, Chandigarh	Sector 10, Chandigarh	2071	279
Sector 18, Chandigarh	Sector 10, Chandigarh	3092	439
Sector 19, Chandigarh	Sector 10, Chandigarh	3601	493
Sector 20, Chandigarh	Sector 10, Chandigarh	5190	772
Sector 21, Chandigarh	Sector 10, Chandigarh	4362	633
Sector 22, Chandigarh	Sector 10, Chandigarh	3703	540
Sector 23, Chandigarh	Sector 10, Chandigarh	3684	448
Sector 24, Chandigarh	Sector 10, Chandigarh	3528	500
